etf,distribucion,h_valor,cbr,qs,kz,m,q,cbr_wcor,qs_wcor,kz_wcor,m_wcor,q_wcor
psrm,gauss,100,-0.30814881441291253,-0.33313481586797494,-0.3633708034954242,-0.4086942095828045,-0.4484977700069084,-0.2205576949161781,-0.23530221877482177,-0.24473266064962348,-0.27015922134332576,-0.30952038398689136
vwo,gauss,100,-0.09386697571150464,-0.11082568403662968,-0.14753661427382228,-0.1865257031687508,-0.22569911451103528,-0.06059284652995662,-0.06843639067279997,-0.08379870803763327,-0.10426509000316028,-0.142938415378822
eem,gauss,150,-0.15175550599531742,-0.1681926280983751,-0.17666232673784124,-0.2024315907207959,-0.21857094363670015,-0.10417610238807036,-0.1133735260947944,-0.11521209274645491,-0.1295245105477912,-0.1455508293473182
eemo,gauss,150,-0.20625881259328083,-0.22424960357565776,-0.22968697098373608,-0.2561898399719681,-0.2720043565147746,-0.14452499559402748,-0.15490608495025726,-0.1545610535503723,-0.16931874381351977,-0.1850591274055027
eemv,gauss,150,-0.20916491897576608,-0.22759346422820179,-0.2339993926153492,-0.2614546811326828,-0.2784874522708861,-0.14727527923395223,-0.15804106108307028,-0.15812857523539572,-0.173657887083575,-0.19057442532336072
fem,gauss,150,-0.21588526617960496,-0.23474973520171608,-0.24060009405053803,-0.26837283766554815,-0.2849586891719791,-0.15038792983677815,-0.16152225500367456,-0.16113413935465998,-0.17692785645208284,-0.1934399333925758
ieem,gauss,150,-0.19613786534514993,-0.21455155868728928,-0.2216688353166769,-0.24939452124006128,-0.266035856755223,-0.13571490913862758,-0.14645544805070498,-0.147005780093405,-0.1627584133145953,-0.1792753469984075
psrm,gauss,150,-0.20256373100584613,-0.22083335290444475,-0.2275972877963725,-0.25498351127239427,-0.2714986927760125,-0.1423673649842957,-0.15307067195376103,-0.15336300104771455,-0.16892499292523672,-0.1853191983433408
vwo,gauss,150,0.02029733498928301,0.0100996020356502,-0.00273943368272538,-0.02286931015127887,-0.03985238888186966,0.02738551089399465,0.02413905362400016,0.01783540106329833,0.00868687198224641,-0.00814358820867836
eem,gauss,200,-0.10768533128905872,-0.1198846328741198,-0.12160786213509882,-0.1390786033873976,-0.14858202764990844,-0.07636644219114855,-0.08295441840449502,-0.08250864458798483,-0.09202587747207384,-0.10148857080684956
eemo,gauss,200,-0.15348127767794018,-0.1677619634697032,-0.16712016999828788,-0.18628547407145443,-0.19466361020681552,-0.10642509380916904,-0.11479053338912631,-0.11242518382597567,-0.12334908703063764,-0.13168886358522114
eemv,gauss,200,-0.1671446225601719,-0.1825118376004574,-0.18213318450926333,-0.20282155821881617,-0.21193234862634927,-0.11597921023721422,-0.12527473575125997,-0.122753761866102,-0.13492707653605607,-0.14399607549154236
fem,gauss,200,-0.16799270018819412,-0.18260002242614187,-0.1819561567123444,-0.20155603135234323,-0.21095759226165703,-0.11916521121306542,-0.1278250970097969,-0.12531761680087786,-0.13661664180320848,-0.1459907418440535
ieem,gauss,200,-0.14788197640161696,-0.16199921693799077,-0.16230699532914292,-0.18166434283750768,-0.1911181727136771,-0.10399789284480332,-0.1122581107906004,-0.11044835915980714,-0.12157220164251406,-0.13097047073370108
psrm,gauss,200,-0.14646377306780475,-0.16057024993698113,-0.16044207258898782,-0.1796641719312999,-0.18897276466327975,-0.10178481783743376,-0.1098048341609732,-0.10783976214565089,-0.11859036399701442,-0.1278234666982895
vwo,gauss,200,0.08505045336364149,0.07881778566009927,0.07251742951981642,0.06058489973198348,0.05129896091008693,0.0780993732189195,0.07747030877867349,0.0730486866659124,0.0688969373892724,0.05967580867342684
eem,gauss,250,-0.07275804260244227,-0.08207445733776986,-0.08148720230525312,-0.0941760913634495,-0.10028733960736606,-0.0525241650250563,-0.05720894711808969,-0.0563306882709969,-0.06290658134868266,-0.06900117862462146
eemo,gauss,250,-0.1124160798021206,-0.12384492725071657,-0.12090318214084116,-0.13542004035316468,-0.14061532193139548,-0.07582694528686033,-0.08227505967573889,-0.07942068627961292,-0.08746255456230287,-0.09263690399057628
eemv,gauss,250,-0.1241655818443151,-0.1364670464623619,-0.1335589091146263,-0.14922470784530548,-0.15489450789363263,-0.08457513789385636,-0.0916970849346948,-0.08876280102998119,-0.09769162813109662,-0.10334139379656068
fem,gauss,250,-0.142853299422325,-0.15541186782911587,-0.1521377746177677,-0.1679822356047065,-0.17392449359277007,-0.10074360307693492,-0.10819314423468888,-0.10485271020378144,-0.11404307733451752,-0.11998684217296396
ieem,gauss,250,-0.10201910277409136,-0.11317385133486273,-0.11100487353583846,-0.1254737389778493,-0.13122392698090582,-0.06900137905775161,-0.07532056475959159,-0.07291546869974268,-0.08103598478592675,-0.08675498679757904
psrm,gauss,250,-0.11948534204948562,-0.13113692165056937,-0.12862617654624858,-0.14362388928453787,-0.14969275530627546,-0.08380799461611384,-0.09038853711786436,-0.08778709529653733,-0.096177567868213,-0.1022188431180852
vwo,gauss,250,0.14897447982924,0.14553366604657694,0.1420321439971903,0.13498929747679617,0.12933218203816282,0.13475414484999504,0.13643070895237194,0.13257117993078538,0.13200573696361576,0.12637203836705826
eem,gauss,300,-0.04046279918175628,-0.04806948446475147,-0.04643889989354231,-0.05641623745526551,-0.06042262198764013,-0.02539363506535521,-0.02894337505368888,-0.02788270407230165,-0.03276535873779589,-0.03677099812887152
eemo,gauss,300,-0.09391453684259556,-0.1036706197378433,-0.09990493398175188,-0.1118322582089794,-0.11541823535595946,-0.0632736730879204,-0.06875651687181485,-0.06583346414459754,-0.07244604934944654,-0.07602062398241242
eemv,gauss,300,-0.09382501494861552,-0.10418071413247192,-0.10026440930558184,-0.11295036652322853,-0.1166981564557132,-0.06072165508630915,-0.06656496055491616,-0.06352138448023638,-0.0706118604832008,-0.0743496004092275
fem,gauss,300,-0.11278202051074344,-0.12282927978773808,-0.11893683997290672,-0.13118752474748763,-0.1352511857014093,-0.08033175799281216,-0.08618466369016081,-0.08301014170263071,-0.09001948255161037,-0.09408300092592332
ieem,gauss,300,-0.08620364818554696,-0.09524778029164684,-0.09234502101565936,-0.10367891127298876,-0.10793355289242364,-0.06119699706861407,-0.06614698378152191,-0.0638580163727097,-0.07005547108513666,-0.0742937244040954
psrm,gauss,300,-0.09995125053609334,-0.11001643044059806,-0.10665448225149277,-0.1191343718970362,-0.1232305502906707,-0.07015185633189151,-0.07604487655802494,-0.0732001733669856,-0.08044009484042085,-0.08451725304894728
vwo,gauss,300,0.1889413939292297,0.1870436426707806,0.1847105054912532,0.18030107045876584,0.17636529995418848,0.17240959546952417,0.17515770736607095,0.17150978390941476,0.17266003729752258,0.16874043339048292
eem,gauss,350,-0.01299545339841617,-0.01894391986556101,-0.01713827497433277,-0.02479807334675879,-0.02760648263885998,-0.00377702083825799,-0.00616732712130264,-0.0054123351389724,-0.00876559845047669,-0.01157407274981643
eemo,gauss,350,-0.06950106371149267,-0.07741553004253905,-0.07366718396524717,-0.08312670470935754,-0.08568884615528362,-0.04578022870456758,-0.04998997490812022,-0.0474930208400558,-0.05249614733300899,-0.0550543152245908
eemv,gauss,350,-0.08168928495564359,-0.09058925819002604,-0.08652400353229767,-0.09715823033692142,-0.09993591789029985,-0.05428086494134078,-0.05935143881410831,-0.05645977812939264,-0.06247860562000487,-0.06525232211829832
fem,gauss,350,-0.08454372500987434,-0.09279606458972744,-0.08883998479251927,-0.09865693689359369,-0.10144340605362594,-0.05905747140835683,-0.06363374283229886,-0.06087787242091838,-0.06626071719284013,-0.06904352885592534
ieem,gauss,350,-0.06759763726843025,-0.07532695982418702,-0.07208939827881225,-0.08152087650818506,-0.08466601598370084,-0.04706880784590563,-0.05108314808135361,-0.04896552935248095,-0.05390586230198901,-0.05703767879772592
psrm,gauss,350,-0.08032201252508124,-0.08890801274327523,-0.08524296723562172,-0.09561512568180223,-0.09856758724829442,-0.055719012790952,-0.06060981951357815,-0.05794110827470029,-0.06383043873030966,-0.06677316284198641
vwo,gauss,350,0.2202359923178668,0.2192096608233289,0.2174528127006482,0.21454983854494927,0.21173639225947616,0.20390436071075244,0.20702677663374755,0.2036054976614578,0.20549564523931005,0.2026917105148804
eem,gauss,400,0.00167717674687873,-0.00365800212449926,-0.00157791452907486,-0.00827117874490065,-0.01031589045669511,0.00969878900173291,0.00750981638419961,0.00843498552682815,0.00546749230220108,0.00342402389282292
eemo,gauss,400,-0.05826915502234136,-0.06519538684481571,-0.06151399677680937,-0.06963950757933565,-0.07157904293991202,-0.03810225375168226,-0.04185465055263343,-0.03946378194160453,-0.04384488978248808,-0.04577857752277805
eemv,gauss,400,-0.06226893734823582,-0.06989700150342044,-0.06597703138701355,-0.07493379909446066,-0.07690297582813951,-0.03959904870321867,-0.04403223959609302,-0.04129589675955116,-0.04646901545981354,-0.04843612422878469
fem,gauss,400,-0.05726369890376824,-0.06392793275240437,-0.06023269601931003,-0.06802554791936127,-0.0700093320139217,-0.03733187132986362,-0.0407197925861699,-0.03847033398367979,-0.04241715832337397,-0.0443989040900007
