"h","distribution","etf","m.q","kz.q","qs.q","cbr.q","kz.m","qs.m","cbr.m","qs.kz","cbr.kz","cbr.qs"
100,"copula","ieem",0.00165075230549063,4.96839227107105e-07,1.55173059604919e-08,3.99905368319542e-11,0.0190761156176735,0.00266251045271994,4.93959127583332e-05,0.193195356699951,0.0157221662225382,0.0850374999618085
150,"copula","ieem",0.0605311353065398,0.0022698862092892,0.00221829705641038,0.000104516240440828,0.0711533464575459,0.0675705209825716,0.00840457150135051,0.471269132326873,0.124147363364683,0.140893691926695
200,"copula","ieem",0.180724964724913,0.0262610768321404,0.0402108279827381,0.00606845093986538,0.136570041549705,0.169387939783172,0.0469726998347121,0.582740653591972,0.2381556522607,0.196562352988532
250,"copula","ieem",0.276750611848882,0.0877312203240071,0.121662096513876,0.0408492761344705,0.200649346379635,0.261428967739905,0.114890024042312,0.589404528883971,0.313833670482129,0.263818905536994
300,"copula","ieem",0.299252954783209,0.126160987911733,0.168771781316448,0.0741917988961768,0.223294000308855,0.290822254877606,0.149248487148009,0.627860610648652,0.347468551796073,0.265418363670938
350,"copula","ieem",0.357448725581598,0.221837432281633,0.281678824537471,0.179442303519168,0.312967578966354,0.366607218574108,0.260634799680843,0.596042694174226,0.414400370313473,0.349275524168934
400,"copula","ieem",0.392642682220786,0.303509470666588,0.356537274144047,0.260634799680843,0.36018794418547,0.403957305825774,0.328711069029033,0.576052925370423,0.427778621283457,0.380487032436885
450,"copula","ieem",0.398289304441277,0.301803618521979,0.353807850069747,0.267826742586501,0.354716831698613,0.412496892826218,0.314700788988883,0.578921895393687,0.442204780384515,0.377698078345414
500,"copula","ieem",0.412496892826218,0.328711069029033,0.383282212390633,0.289985327865341,0.363851408388617,0.422033970281447,0.332252598637269,0.583694139704234,0.433538622985771,0.382349802390519
100,"t","psrm",0.00318555842837035,1.39975814186198e-05,1.69131285574947e-06,1.44714013726263e-08,0.0397897165572777,0.0123297284213389,0.000575143073097886,0.23967105755394,0.047939469393338,0.138720393130742
150,"t","psrm",0.0599471952648581,0.00313867911667588,0.00328121178748745,0.000163444186520992,0.0766227896904161,0.0755736196816205,0.0108504155890088,0.506335746019873,0.145867690107175,0.151531194611945
200,"t","psrm",0.187224156419289,0.0377376290785672,0.0540789527398772,0.0108504155890088,0.160893042530051,0.204786937836192,0.071486157913019,0.582740653591972,0.281678824537471,0.23214685930672
250,"t","psrm",0.307792816589326,0.125151347560679,0.165712626578523,0.0741917988961768,0.23967105755394,0.302656006105475,0.152681207356791,0.600767482655405,0.354716831698613,0.296712116826591
300,"t","psrm",0.342068537436759,0.15733901759106,0.223294000308855,0.108390489441602,0.24195399863446,0.334029022025091,0.169387939783172,0.622301921654586,0.355626641284204,0.275933368524702
350,"t","psrm",0.353807850069747,0.167543791097854,0.261428967739905,0.125151347560679,0.260634799680843,0.354716831698613,0.195886124512649,0.634312157286377,0.392642682220786,0.287481346388126
400,"t","psrm",0.367527360442297,0.191192163000737,0.280031393569238,0.150958353323115,0.271865022255207,0.37029233343042,0.216065721952415,0.64163900911369,0.396404665572716,0.296712116826591
450,"t","psrm",0.403011202554389,0.259841875238167,0.334029022025091,0.216782393425656,0.31817945336918,0.40112070378706,0.269438422131263,0.614850942922304,0.410595471116029,0.332252598637269
500,"t","psrm",0.415352866453445,0.297557964970773,0.366607218574108,0.27348877422557,0.348371607815447,0.422990295452949,0.313833670482129,0.596042694174226,0.439312775285135,0.359274065333711
100,"gauss","psrm",0.00096147233906884,1.39412425042585e-07,5.28886794595193e-09,1.05248394680695e-11,0.014244064870917,0.00182800395900149,1.7526550527415e-05,0.17626076456955,0.0156260743147664,0.0885124244932756
150,"gauss","psrm",0.0614153779848444,0.0024312402558261,0.00246847678900241,9.95878928212711e-05,0.0614153779848444,0.0629114992007002,0.0068667837279607,0.489766025781915,0.12314902747822,0.120187827858806
200,"gauss","psrm",0.186567807714502,0.0250929430916258,0.0385478531343511,0.00527886268475945,0.121662096513876,0.171245064912728,0.0377376290785672,0.618581925947439,0.221837432281633,0.168157064992691
